,closed_at,created_at,issue_comments,issue_desc,issue_id
10,2020-07-02 21:38:19,2020-07-02 21:01:28,API docs - changed flask.request description,"- the link should point to the flask 's Request - longer description is unnecessary , as it 's all explained above in flask.Request A bit unsure on ` : class : ` correct usage here .",3673.0
11,2020-07-28 21:17:38,2020-06-30 17:18:23,Error Docs Revision/Consolidation,"This patch is a revision/addition to PR # 3594 which addresses issue # 3573 . I fixed up grammar/spelling issues and organized the information for readability . < ! -- Commit checklist : * add tests that fail without the patch * ensure all tests pass with `` pytest `` * add documentation to the relevant docstrings or pages * add `` versionadded `` or `` versionchanged `` directives to relevant docstrings * add a changelog entry if this patch changes code Tests , coverage , and docs will be run automatically when you submit the pull request , but running them yourself can save time . -- >",3669.0
12,2020-06-24 16:56:42,2020-06-21 08:35:41,Removed misleading DEBUG variable from examples,"Describe what this patch does to fix the issue . The configuragion documentation states that `` While it is possible to set : data : ` ENV ` and : data : ` DEBUG ` in your config or code , this is strongly discouraged. ` So , I believe using the ` DEBUG ` setting in the examples is misleading , as people are led to believe that that is needed to activate the debug mode . Indeed , basically every tutorial on Flask that you find around has the ` DEBUG ` variable in the configuration . I propose we get rid of all of them .",3662.0
13,2020-06-18 14:23:50,2020-06-18 03:01:07,[ docs ] streaming contents : use app.response_class,Examples should use app.response_class to encourage code that does n't need to be changed should the response class be customized later on .,3659.0
14,2020-06-06 04:48:37,2020-06-06 03:42:42,update code-block typo,Describe what this patch does to fix the issue : Fixes a type that was showing the rst for the code block instead of the actual code as a code block,3642.0
15,2020-06-07 23:47:13,2020-05-31 21:01:01,security.rst : Add section on copy/paste security,"Closes https : //github.com/pallets/flask/issues/3612 Adds a section on copy and pasting security . < ! -- Commit checklist : * add tests that fail without the patch * ensure all tests pass with `` pytest `` * add documentation to the relevant docstrings or pages * add `` versionadded `` or `` versionchanged `` directives to relevant docstrings * add a changelog entry if this patch changes code Tests , coverage , and docs will be run automatically when you submit the pull request , but running them yourself can save time . -- >",3633.0
16,2020-05-23 21:12:23,2020-05-23 21:07:13,use GitHub Actions for CI,* * add function REGEXP for sqlite3 which can support regex search . * * When using such sql and this PR can fix the error . References : https : //www.sqlite.org/lang_expr.html # regexp https : //stackoverflow.com/questions/5365451/problem-with-regexp-python-and-sqlite,3621.0
17,2020-05-23 21:05:39,2020-05-23 21:03:59,use pip-compile to pin dev requirements,* * add function REGEXP for sqlite3 which can support regex search . * * When using such sql and this PR can fix the error . References : https : //www.sqlite.org/lang_expr.html # regexp https : //stackoverflow.com/questions/5365451/problem-with-regexp-python-and-sqlite,3620.0
18,2020-05-18 22:04:41,2020-05-18 21:59:52,add readthedocs config,# # # Expected Behavior Custom handler exception should execute and leave the console alone # # # Environment * Python version : 3.7.7 * Flask version : 1.1.2 * Werkzeug version : 1.0.1,3616.0
19,2020-07-24 16:23:21,2020-05-02 11:39:23,consolidate error handling docs,"Removing apierrors.rst and errorpages.rst from patterns and integrating the content into errorhandling.rst . Content has also been added and edited . With a info about blueprint error handling in errorhandling.rst as well a link to blueprints . NB : I 've never edited Sphinx , so feedback is very welcome Fixes # 3573",3594.0
20,2020-07-06 17:45:04,2020-04-20 19:20:59,Officially support using pathlib.Path for static_folder .,"* No longer causes ` AttributeError : 'PosixPath ' object has no attribute 'rstrip ' ` . * This was broken by e6178fe489b7828acc2bb8fd4b56a70b11ab6c6a which was released in 1.1.2 . * Add a regression test that now passes . See # 3557 . ( That issue was repurposed for migrating to pathlib internally , which this PR does not resolve . Merely officially supporting Paths for ` static_folder ` need not require that . ) < ! -- Commit checklist : * add tests that fail without the patch * ensure all tests pass with `` pytest `` * add documentation to the relevant docstrings or pages * add `` versionadded `` or `` versionchanged `` directives to relevant docstrings * add a changelog entry if this patch changes code Tests , coverage , and docs will be run automatically when you submit the pull request , but running them yourself can save time . -- >",3579.0
21,2020-04-16 17:52:06,2020-04-16 16:26:40,Adding error message to an assert,"Adding an error message to an assertion that I have experienced on two separate occasions , that all custom exceptions must inherit from the builtin Exception class . This PR will throw the new message to those who decide to create exceptions that are n't subclasses of Exception , e.g . BaseException",3574.0
22,2020-04-08 01:01:56,2020-04-08 00:59:20,use ast to parse FLASK_APP,"This had the nice side effect of parsing keyword arguments too . Refactored ` call_factory ` to use ` inspect.signature ` , even though it will go away in 2.1 because it was easier to figure out the args and kwargs checks . closes # 3553",3564.0
23,2020-04-07 22:57:46,2020-04-07 22:55:50,deprecate passing script_info to factory,closes # 3552,3563.0
24,2020-04-07 20:40:40,2020-04-07 19:46:11,Remove simplejson and deprecate encoding options,"* Remove simplejson . Remove UTF encoding guessing , which the built-in module handles now . Simplify ` htmlsafe_dumps ` to use ` str.translate ` instead of multiple ` str.replace ` . * Issue deprecation warning if ` encoding ` is passed to ` dumps ` , ` dump ` , ` loads ` , or ` load ` . This was deprecated in the built-in module back in 3.1 . The only valid encodings for JSON are UTF-8 ( with/without BOM ) , UTF-16 ( BE/LE ) , and UTF-32 ( BE/LE ) . ` json.loads ` accepts bytes and ` json.loads ` accepts binary files in these encodings without any special handling on our part . ` dumps ` can be encoded after calling , and ` dump ` can be passed a binary file wrapped with ` io.TextIOWrapper ` . * Rewrite docs for consistency . * Fix imports and references of ` Markup ` to be from MarkupSafe instead of Flask or Jinja . See the individual commits for easier diffs . closes # 3555",3562.0
25,2020-07-18 17:14:09,2020-04-07 10:13:38,Stop change CWD to .env/.flaskenv location,"By [ the current implementation ] ( https : //github.com/pallets/flask/blob/master/src/flask/cli.py # L630 ) , if ` .env ` or ` .flaskenv ` was found in the top-level directory , Flask will change the current work directory to the directory that contains the ` .env ` or ` .flaskenv ` file . When the user accidentally put a ` .env ` or ` .flaskenv ` in the top-level directory , then executing ` flask run ` in the current directory ( contains ` app.py ` ) will throw out NoAppException . See more in # 3561 .",3560.0
26,2020-04-04 19:13:36,2020-04-04 18:58:38,Drop Python 2,- Remove ` _compat ` module and other compat code . - Run [ pyupgrade ] ( https : //github.com/asottile/pyupgrade ) . - Use f-strings everywhere . - Remove deprecated code from 1.1.x . - Remove old docs .,3554.0
27,2020-04-03 14:33:21,2020-03-20 09:46:49,Clarify that static_folder must be a relative path,Also hint at ` root_path ` parameter rather than mentioning in plain text .,3541.0
28,2020-04-02 19:55:50,2020-03-05 00:00:37,Move HTML escaping example back to Variable Rules .,"Demonstration of markupsafe 's escape function was in the Minimal Application example , but the minimal example does not accept user input . closes # 3527",3529.0
29,2020-03-11 14:31:21,2020-02-25 14:40:56,Make code more easy to read,"Describe what this patch does to fix the issue . When I read the code , I feel something is hard to understand . So I change it .",3513.0
30,2020-02-10 21:15:25,2020-02-10 20:17:19,View returned none exception contains endpoint name,"Describe what this patch does to fix the issue . Adds request.endpoint to the error message . Link to any relevant issues or pull requests . fixes https : //github.com/pallets/flask/issues/3445 < ! -- Commit checklist : * add tests that fail without the patch * ensure all tests pass with `` pytest `` * add documentation to the relevant docstrings or pages * add `` versionadded `` or `` versionchanged `` directives to relevant docstrings * add a changelog entry if this patch changes code Tests , coverage , and docs will be run automatically when you submit the pull request , but running them yourself can save time . -- >",3498.0
31,2020-02-11 01:56:12,2020-02-10 00:13:54,CLI checks for cryptography library,"The check was already happening in Werkzeug , this updates the Flask CLI so it does n't require PyOpenSS .",3492.0
32,2020-02-11 02:13:25,2020-02-06 20:15:39,Incorrect grammar,"The original sentence has incorrect grammar . The change corrects the grammar error and expresses the intended meaning better < ! -- Commit checklist : * add tests that fail without the patch * ensure all tests pass with `` pytest `` * add documentation to the relevant docstrings or pages * add `` versionadded `` or `` versionchanged `` directives to relevant docstrings * add a changelog entry if this patch changes code Tests , coverage , and docs will be run automatically when you submit the pull request , but running them yourself can save time . -- >",3480.0
33,2020-02-11 02:12:50,2020-01-22 15:15:59,Add missing import for escape in doc,"` flask.escape ` used in [ Variable Rule ] ( https : //flask.palletsprojects.com/en/1.1.x/quickstart/ # variable-rules ) section but does n't import , this PR will add the missing import statement . Fix # 3471",3473.0
34,2020-02-11 01:29:10,2020-01-04 14:59:18,Remove comment about extensions being reviewed by the core team,This PR removes the comment in the foreword that tells Flask extensions are reviewed by Flask maintainers,3462.0
35,2020-02-12 15:09:32,2019-12-26 01:36:30,Fix a bug that the static endpoint will unexpectedly catch all,"Fixes # 3452 Strip the ending slash when passed to ` os.path.basename ` , so that the last part can be used for static url path correctly . < ! -- Commit checklist : * add tests that fail without the patch * ensure all tests pass with `` pytest `` * add documentation to the relevant docstrings or pages * add `` versionadded `` or `` versionchanged `` directives to relevant docstrings * add a changelog entry if this patch changes code Tests , coverage , and docs will be run automatically when you submit the pull request , but running them yourself can save time . -- >",3456.0
36,2020-02-11 01:28:15,2019-12-19 20:45:46,fix docstring and remove redundant parentheses,"Hi ! This fixes a docstring and remove redundant parentheses , if you want me to submit as separated PR or you need me to do something else just let me know .",3453.0
37,2020-02-10 21:15:25,2019-12-14 23:05:13,Suggestion : Improve traceback for routes that return None,"< ! -- * * This issue tracker is a tool to address bugs in Flask itself . Please use the # pocoo IRC channel on freenode or Stack Overflow for general questions about using Flask or issues not related to Flask . * * -- > < ! -- If you 'd like to report a bug in Flask , fill out the template below . Provide any extra information that may be useful / related to your problem . Ideally , create an [ MCVE ] ( https : //stackoverflow.com/help/mcve ) , which helps us understand the problem and helps check that it is not caused by something in your code . -- > # # # Expected Behavior When a user creates a route that returns None flask raises > ` TypeError : The view function did not return a valid response . The function either returned None or ended without a return statement. ` The problem is that it does n't include the route that actually caused the error . It 's obviously not a huge deal , just a little tedious to go search through all of the routes . full traceback : # # # Environment * Python version : 3.6 * Flask version : 1.1.1 * Werkzeug version : 0.16",3445.0
38,2020-02-11 01:27:51,2019-11-22 16:13:37,Updated Issue Template,"* Mentioned Pallets Discord as a way of getting help * Updated it to use the new format , to fix the warning that shows right now",3437.0
39,2019-11-19 17:08:08,2019-11-19 07:41:51,send_file does n't allow StringIO,"fixes # 3358 Due to the way ` send_file ` works , passing a text mode file-like object , such as ` io.StringIO ` in Python 3 , would respond with 200 OK and an empty file , while printing a traceback to the terminal . Even in Python 2 , this only worked by accident , and would probably fail if given a ` StringIO.StringIO ` object with Unicode data that did not encode with the system encoding . It appears ` send_file ` was only intended to work with binary mode data . Now , if the object is an instance of ` io.TextIOBase ` it raises a ` ValueError ` . This does n't help for file-like objects that do n't use the ` io ` ABCs ( including Python 2 ) , but it should cover most cases .",3435.0
40,2019-11-19 02:22:39,2019-11-18 20:40:47,lazy load app on reload only,"fixes # 3431 fixes # 3430 If neither ` -- eager-loading ` or ` -- lazy-loader ` are passed to ` flask run ` , the default is now to eager load on the first run , then lazy load on reloads . This makes the command fail immediately if there is already an error , and the server remains up if errors are introduced later .",3434.0
41,2019-11-19 17:37:22,2019-11-15 04:41:16,Update old pocoo links everywhere,"Update documentation link and project page link for Flask , Werkzeug , and Jinja . pocoo.org -- > palletsprojects.com continue # 3426",3427.0
42,2019-10-29 01:26:16,2019-10-29 00:44:10,[ BUG FIX ] Test test_send_from_directory_bad_request fails in Python 3.8 .,"The patch changes the exception test based on the python version . If python version is greater than or equal to ` 3.8 ` , the exception raised is ` NotFound ` . Otherwise , it is a ` BadRequest ` . fixes # 3402",3410.0
43,2019-11-19 03:09:31,2019-10-26 06:23:17,Change docs to use f-strings,"I noticed old printf style string formatting in quite a few places in the documentation . When I cloned to fix the quick start guide , I noticed it was already changed to f-strings style formatting in quickstart so I changed the rest too .",3406.0
44,2019-11-19 03:05:02,2019-10-18 23:08:46,Declare support for Python 3.8,"Hello , Python 3.8 is released , so I believe that it would be nice to declare support for it . Python 3.8.0 release announcement : https : //discuss.python.org/t/python-3-8-0-is-now-available/2478 Best regards ! P.S . Unfortunately , Azure Pipelines do n't support Python 3.8 yet . https : //github.com/microsoft/azure-pipelines-image-generation/issues/1317",3401.0
45,2019-10-18 16:28:38,2019-10-15 13:57:08,Support loading configuration from text files,"TOML is a very popular format now , and is taking hold in the Python ecosystem via pyproject.toml ( among others ) . This allows toml config files via , app.config.from_file ( `` config.toml '' , toml.loads ) it also allows for any other file format whereby there is a loader that takes a string and returns a mapping . This is an alternative to # 3386 .",3398.0
46,2019-10-13 02:03:35,2019-10-13 01:56:35,explain escape at top of quickstart,"* introduce escape , and explain why it 's omitted in examples * clean up imports in examples closes # 3354 closes # 3378",3391.0
47,2019-10-06 20:26:01,2019-10-06 17:58:31,Add hyperlink of contributing-testsuite in CONTRIBUTING,Add hyperlink of ` contributing-testsuite ` in CONTRIBUTING.rst and remove the duplicate dot .,3382.0
48,2019-10-08 16:11:19,2019-10-05 22:15:53,fix typo in request context docs,"Fixed typos I saw in the Request Context documentation . < ! -- Commit checklist : * add tests that fail without the patch * ensure all tests pass with `` pytest `` * add documentation to the relevant docstrings or pages * add `` versionadded `` or `` versionchanged `` directives to relevant docstrings * add a changelog entry if this patch changes code Tests , coverage , and docs will be run automatically when you submit the pull request , but running them yourself can save time . -- >",3381.0
49,2019-09-24 13:41:49,2019-09-24 13:41:30,update docs for new theme,Apply the update docs config and theme to the 0.12.x branch so it can be built on Read the Docs . related to # 3350,3376.0
50,2019-09-23 19:10:30,2019-09-23 19:02:05,reword extension python version item,"Based on https : //github.com/pallets/flask/pull/3374 # discussion_r327215251 . This is n't a hard requirement , so I 'm using `` should '' instead of `` must '' .",3375.0
51,2019-09-23 15:33:51,2019-09-23 15:26:15,Remove old things from docs,"* Explain that we do n't do approved extensions anymore , but the guidelines are still applicable . Refresh the guidelines . * Remove mention of old snippet site . * Remove mention of old extensions list . * Update mailing list and Discord links . * Update deprecated Werkzeug imports . closes # 3356 , closes # 3373",3374.0
52,2019-10-13 02:20:32,2019-09-22 11:00:01,get_cookie_name in SessionInterface for easier overriding in SecureCookieSessionInterface,"Most of the other arguments passed into `` response.set_cookie ( ) `` in `` SecureCookieSessionInterface.save_session ( ) `` use the overridable methods of `` SessionInterface `` to fill in each argument . Except for the cookie name , which is statically set to `` app.session_cookie_name `` . Sometimes a cookie name needs to be set dynamically based on the current request , for example , a cookie name that is dependent on the current subpath in the URL . At the moment , the best way of doing this is to override the `` save_session ( ) `` method of `` SecureCookieSessionInterface `` and make it dynamically pass in the cookie name to `` response.set_cookie ( ) `` . To avoid having to override the whole of `` save_session ( ) `` , this pull request adds in an overridable `` get_cookie_name ( ) `` method on `` SessionInterface `` to match the other `` get_xxx ( ) `` methods of that class . Note : I originally posted a question about this in Stackoverflow ( _ [ `` Something like get_cookie_name in Flask 's SessionInterface ? `` ] ( https : //stackoverflow.com/questions/55281983/something-like-get-cookie-name-in-flasks-sessioninterface ) _ ) and also asked the question ( using the Stackoverflow link ) in the Flask Discord chat . I was not satisfied with the response I got , so I 've opened up this pull request . < ! -- Commit checklist : * add tests that fail without the patch * ensure all tests pass with `` pytest `` * add documentation to the relevant docstrings or pages * add `` versionadded `` or `` versionchanged `` directives to relevant docstrings * add a changelog entry if this patch changes code Tests , coverage , and docs will be run automatically when you submit the pull request , but running them yourself can save time . -- >",3369.0
53,2019-09-02 16:05:06,2019-09-02 15:39:59,Update testing.rst,"It now describes how to install flaskr using pip so that all tests pass . All tests in examples/tutorial/tests failed because the module flaskr could not be loaded , so I added a line describing how to install flaskr as an editable module . This should fix # 2833 .",3349.0
54,2019-09-23 19:24:09,2019-08-28 22:54:24,Fix the contibution docs,"The guidelines for the first time setup of Flask for development lacks any details about the installation of pre-commit module . The command to install the pre-commit hooks is not set as a code block and is rendered as a quote . As someone who decided to make a few contributions on the framework , this is a quite irritating start of the journey 😄 I 've added a link to the official guide for the installation of the pre-commit and fixed the markdown to make the command a code block .",3344.0
55,2019-08-01 19:56:31,2019-08-01 14:59:28,Fix github link generator for docs,Using packaging.version to check whether the version is dev version . resolve # 3320,3321.0
56,2019-08-01 20:07:53,2019-07-30 12:51:44,Fix typo in urlprocessors.rst,Remove the duplicate word 'automatically ' from the sentence : > They can automatically inject values into a call for : func : ` ~flask.url_for ` automatically .,3317.0
57,2019-07-25 18:33:37,2019-07-24 07:59:31,clean up outdated code,it is now required that Werkzeug > = 0.15,3315.0
58,2019-07-22 20:30:44,2019-07-18 04:59:26,Update outdated extension doc,Remove links and descriptions relate to abandoned `` Flask Extension Registry '' in the documentation . resolve # 3304,3305.0
59,2019-07-10 19:42:59,2019-07-10 18:47:10,pass sys.argv to flask cli,closes # 3297 Can be removed when pallets/click # 536 is fixed .,3299.0
60,2019-07-08 17:37:17,2019-07-08 17:31:36,restore and deprecate json_available,"` flask.json_available ` was removed because it was marked deprecated in the code and does n't do anything . ` flask.json ` is always available , and libaries that were n't sure about that should have used ` try/except ImportError ` while it was relevant . However , since a few dormant but popular extensions use it , it 's added back in for now . Anything doing ` if json_available ` or ` if json_available == True ` , such as Flask-Testing and Flask-DebugToolbar , will show a ` DeprecationWarning ` . ` is ` ca n't be overridden , so that wo n't show a warning , but I do n't think things that were using this flag did that . I 've marked it for removal in 2.0.0 , which will be a pretty big change anyway . Please reach out to extensions you use if you see this warning and offer to help maintain it if it 's an extension you want to continue using as Flask moves forward . closes # 3288",3292.0
61,2019-07-07 19:43:26,2019-07-07 19:40:29,Comment out helpful tips in ISSUE_TEMPLATE so they 're visible only when editing,The comments are now visible only to the issue creator and do not need to be manually removed before submitting the issue .,3290.0
