,commit_id,commit_time,diff,files,summary
10,936475258d501b7b1fed1c80080eabfae8179970,2020-04-17 22:58:13-07:00,"bottom_toolbar=get_toolbar_tokens , self.show_bottom_toolbar = c [ `` main '' ] .as_bool ( `` show_bottom_toolbar '' ) bottom_toolbar=get_toolbar_tokens if self.show_bottom_toolbar else None , * Add config option show_bottom_toolbar . # Use keyring to automatically save and load password in a secure manner # Use keyring to automatically save and load password in a secure manner show_bottom_toolbar = True # Show/hide the informational toolbar with function keymap at the footer . * Stephano Paraskeva","['AUTHORS', 'changelog.rst', 'pgcli/main.py', 'pgcli/pgclirc']",show_bottom_toolbar - Feature to Show/Hide Toolbar ( # 1170 )
11,f3ac5598448a0c2080ee267f00931ed556a6779d,2020-04-17 14:52:19-07:00,"`` `` '' password=much_secure pgcli.connect_service ( service , user ) return service_conf , service_file port= '' 5433 '' , if not service : elif os.environ.get ( `` PGSERVICE '' , None ) : user=a_user elif service is not None : user= '' another_user '' , host=b_host service = database [ 8 : ] if service not in service_file_config : elif `` = '' in database and service is None : pgcli.connect_dsn ( `` service= { 0 } '' .format ( os.environ [ `` PGSERVICE '' ] ) ) `` 5435 '' , database=service_config.get ( `` dbname '' ) , `` `` , `` b_host '' , passwd=service_config.get ( `` password '' ) , return None , service_file exit ( 1 ) host=service_config.get ( `` host '' ) , host= '' a_host '' , service = None port=5433 del os.environ [ `` PGSERVICEFILE '' ] import platform dbname=b_dbname ) service_conf.write ( service = os.getenv ( `` PGSERVICE '' ) port=5435 user=b_user port=service_config.get ( `` port '' ) , [ my_other_service ] passwd= '' much_secure '' , if database.startswith ( `` service= '' ) : if platform.system ( ) == `` Windows '' : elif os.getenv ( `` PGSERVICE '' ) is not None : def test_pg_service_file ( tmpdir ) : del os.environ [ `` PGPASSWORD '' ] if not service_file : `` very_secure '' , service_file = os.getenv ( `` PGSYSCONFDIR '' ) + `` \\pg_service.conf '' service = service or os.getenv ( `` PGSERVICE '' ) service_file = expanduser ( `` ~/.pg_service.conf '' ) database= '' a_dbname '' , click.secho ( `` `` '' [ myservice ] `` service ' % s ' was not found in % s '' % ( service , file ) , err=True , fg= '' red '' application_name= '' pgcli '' , with open ( tmpdir.join ( `` .pg_service.conf '' ) .strpath , `` w '' ) as service_conf : def connect_service ( self , service , user ) : from os.path import expanduser # try ~/.pg_service.conf ( if that exists ) from configobj import ConfigObj with mock.patch.object ( PGExecute , `` __init__ '' ) as mock_pgexecute : * Add support for ` pg_service.conf ` files def parse_service_info ( service ) : service_file = os.getenv ( `` PGSERVICEFILE '' ) cli.connect_service ( `` myservice '' , `` another_user '' ) self.connect ( mock_connect.assert_called_with ( else : service_file_config = ConfigObj ( service_file ) if service_config is None : mock_pgexecute.return_value = None elif os.getenv ( `` PGSYSCONFDIR '' ) : elif `` = '' in database : os.environ [ `` PGPASSWORD '' ] = `` very_secure '' # nothing to do service_conf = service_file_config.get ( service ) host=a_host os.environ [ `` PGSERVICEFILE '' ] = tmpdir.join ( `` .pg_service.conf '' ) .strpath service_file = os.path.join ( os.getenv ( `` PGSYSCONFDIR '' ) , `` .pg_service.conf '' ) dbname=a_dbname `` b_dbname '' , with mock.patch.object ( PGCli , `` connect '' ) as mock_connect : ) `` b_user '' , user=user or service_config.get ( `` user '' ) , ) mock_pgexecute.assert_called_with ( cli = PGCli ( pgclirc_file=str ( tmpdir.join ( `` rcfile '' ) ) ) service_config , file = parse_service_info ( service ) cli.connect_service ( `` my_other_service '' , None )","['changelog.rst', 'pgcli/main.py', 'tests/test_main.py']",Add pg_service.conf handling ( # 1155 )
12,63b87ba3a8003fb6c605fd5f9570b32e5087bb60,2020-04-10 15:14:56-07:00,3.0.0 ========= ===== Upcoming :,['changelog.rst'],New release 3.0.0 . ( # 1165 )
13,b6e2a229e5f122a9efa31666dee7965621eff031,2020-04-05 20:56:31-07:00,"* Upgrade python-prompt-toolkit to v3.0 . ( Thanks : ` laixintao ` _ ) wrappers.wait_prompt ( context ) `` prompt_toolkit > =2.0.6 , < 3.0.0 '' , os.environ [ `` PROMPT_TOOLKIT_NO_CPR '' ] = `` 1 '' `` prompt_toolkit > =3.0.0 , < 4.0.0 '' ,","['changelog.rst', 'setup.py', 'tests/features/environment.py', 'tests/features/steps/basic_commands.py']",upgrade prompt-toolit to 3.0 ( # 1149 )
14,93c14f844ee33e4d47ae07688f0e5ca7219df7de,2020-04-03 15:15:53-07:00,"h| -- host ) _pg_databases ( ) -- * ) COMPREPLY= ( -- ) complete -F _pgcli pgcli { # return list of available databases } U| -- user ) awk 'NF > 1 { print $ 1 } ' ) '' -- `` $ cur '' ) ) -- row-limit -- help ' -- `` $ cur '' ) ) - ) return 0 -- single-connection -- version -- dbname -- pgclirc -- dsn local cur prev words cword # only complete long options _pg_users ( ) COMPREPLY= ( $ ( compgen -W `` $ ( psql -AtqwlF $ '\t ' 2 > /dev/null | \ # -w was introduced in 8.4 , https : //launchpad.net/bugs/164772 * ) _pg_databases _pg_databases _pg_users # `` Access privileges '' in output may contain linefeeds , hence the NF > 1 compopt -o nospace _pgcli ( ) esac # return list of available options } & & ; ; COMPREPLY= ( $ ( compgen -W ' -- host -- port -- user -- password -- no-password ; ; case $ prev in [ [ $ COMPREPLY == * = ] ] & & compopt -o nospace help|-v| -- version|-p| -- port|-R| -- row-limit ) template1 2 > /dev/null ) '' -- `` $ cur '' ) ) _known_hosts_real `` $ cur '' _init_completion -s || return # all other arguments are noop with these return 0 COMPREPLY= ( $ ( compgen -W `` $ ( psql -Atqwc 'select usename from pg_user ' \ case `` $ cur '' in d| -- dbname )",['pgcli-completion.bash'],pgcli bash completion script ( # 892 )
15,d9ea18d3a0f93c7990bc5e7df76daf3e608ae3d9,2020-03-30 20:50:06+08:00,": : `` pgcli `` also supports many of the same ` environment variables ` _ as `` psql `` for login options ( e.g . `` PGHOST `` , `` PGPORT `` , `` PGUSER `` , `` PGPASSWORD `` , `` PGDATABASE `` ) . pgclirc PATH Location of pgclirc file . warn / -- no-warn Warn before running a destructive query . U , -- username TEXT Username to connect to the postgres database . Options : W , -- password Force password prompt . For more details : listening . row-limit INTEGER Set threshold for row limit prompt . Use 0 to disable help Show this message and exit . less-chatty Skip intro on startup and goodbye on exit . .. _environment variables : https : //www.postgresql.org/docs/current/libpq-envars.html prompt-dsn TEXT Prompt format for connections using DSN aliases list-dsn list of DSN configured into the [ alias_dsn ] section pgclirc file . result is wider than the terminal width . l , -- list list available databases , then exit . Usage : pgcli [ OPTIONS ] [ DBNAME ] [ USERNAME ] v , -- version Version of pgcli . w , -- no-password Never prompt for password . $ pgcli -- help of pgclirc file . p , -- port INTEGER Port number at which the postgres instance is d , -- dbname TEXT database name to connect to . prompt . u , -- user TEXT Username to connect to the postgres database . auto-vertical-output Automatically switch to vertical output mode if the single-connection Do not use a separate connection for completions . h , -- host TEXT Host address of the postgres database . D , -- dsn TEXT Use DSN configured into the [ alias_dsn ] section of",['README.rst'],Add -- help output to README ( # 1164 )
16,e9874e2f96c27e24aafbc54436465abd8f152f8a,2020-03-18 09:11:10-07:00,"* Drop Python3.5 support . ( Thanks : ` laixintao ` _ ) * Drop Python2.7 , 3.4 , 3.5 support . ( Thanks : ` laixintao ` _ ) * Drop Python3.4 support . ( Thanks : ` laixintao ` _ ) envlist = py36 , py37 * Drop Python2.7 support . ( Thanks : ` laixintao ` _ ) `` Programming Language : : Python : : 3.8 '' , envlist = py36 , py37 , py38 `` 3.8 '' * Support Python3.8 . ( Thanks : ` laixintao ` _ )","['.travis.yml', 'changelog.rst', 'setup.py', 'tox.ini']",python3.8 : add travis test and setup.py class . ( # 1157 )
17,0f3d4602efa2eda4cf5056d237cac36b2cc012ea,2020-03-12 13:45:59-07:00,if not settings.get ( `` single_connection '' ) and executor.conn : * Close open connection in completion_refresher thread executor.conn.close ( ) # close connection established with pgexecute.copy ( ) * Gantsev Denis,"['AUTHORS', 'changelog.rst', 'pgcli/completion_refresher.py']",Fix : Unable to drop previously connected-to database ( # 1152 )
18,bc7a5d01001df69f9f0c3dfeb94cca92768ab696,2020-03-11 13:58:13-07:00,"target-version = [ 'py36 ' ] `` Programming Language : : Python : : 3.5 '' , envlist = py36 , py37 * * kwargs , `` 3.5 '' * Drop Python3.5 support . ( Thanks : ` laixintao ` _ ) target-version = [ 'py35 ' ] envlist = py35 , py36 , py37 * * kwargs","['.travis.yml', 'changelog.rst', 'pgcli/pgexecute.py', 'pyproject.toml', 'setup.py', 'tox.ini']",Drop Python3.5 . ( # 1154 )
19,fd775497547bb51e3d3b38590cbc83e54afd9508,2020-03-09 20:14:51-07:00,"assert `` fooé '' in result [ 3 ] run ( executor , `` '' '' insert into jsonbtest ( d ) values ( ' { `` name '' : `` Éowyn '' } ' ) '' '' '' ) `` Programming Language : : Python : : 2.7 '' , assert u '' fooé '' in result [ 3 ] target-version = [ 'py27 ' ] assert u ' { `` name '' : `` Éowyn '' } ' in result assert `` Description '' in result [ 2 ] assert `` é '' in run ( run ( executor , u '' create table jsontest ( d json ) '' ) executor , `` SELECT d FROM jsontest LIMIT 1 '' , join=True , expanded=expanded `` Programming Language : : Python : : 2 '' , run ( executor , `` '' '' insert into jsontest ( d ) values ( ' { `` name '' : `` Éowyn '' } ' ) '' '' '' ) executor , u '' SELECT d FROM jsontest LIMIT 1 '' , join=True , expanded=expanded run ( executor , u '' INSERT INTO person VALUES ( 'Moe ' , '日本語 ' ) '' ) you should use install `` pgcli < = 2.2.0 `` . * Drop Python2.7 support . ( Thanks : ` laixintao ` _ ) target-version = [ 'py35 ' ] run ( executor , `` CREATE TYPE mood AS ENUM ( 'sad ' , 'ok ' , 'happy ' , '日本語 ' ) '' ) run ( executor , u '' '' '' insert into jsonbtest ( d ) values ( ' { `` name '' : `` Éowyn '' } ' ) '' '' '' ) assert `` 日本語 '' in run ( executor , `` SELECT * FROM person '' , join=True ) envlist = py35 , py36 , py37 Pgcli only runs on Python3.6+ since 2.2.0 , if you use an old version of Python , run ( executor , `` CREATE TABLE person ( name TEXT , current_mood mood ) '' ) run ( executor , `` create table jsontest ( d json ) '' ) `` 2.7 '' `` select 'fooé ' ; invalid syntax é '' , assert u '' 日本語 '' in run ( executor , u '' SELECT '日本語 ' AS japanese ; '' , join=True ) assert u '' \\xdeadbeef '' in run ( executor , `` select * from binarydata '' , join=True ) run ( executor , u '' insert into unicodechars ( t ) values ( ' é ' ) '' ) assert `` \\xdeadbeef '' in run ( executor , `` select * from binarydata '' , join=True ) run ( executor , `` INSERT INTO person VALUES ( 'Moe ' , '日本語 ' ) '' ) run ( executor , `` insert into unicodechars ( t ) values ( ' é ' ) '' ) assert u '' Command '' in result [ 1 ] run ( executor , u '' CREATE TYPE mood AS ENUM ( 'sad ' , 'ok ' , 'happy ' , '日本語 ' ) '' ) * * self.pgexecute.extra_args , run ( executor , u '' '' '' insert into jsontest ( d ) values ( ' { `` name '' : `` Éowyn '' } ' ) '' '' '' ) assert u '' é '' in run ( * * self.pgexecute.extra_args assert u '' 日本語 '' in run ( executor , u '' SELECT * FROM person '' , join=True ) run ( executor , u '' CREATE TABLE person ( name TEXT , current_mood mood ) '' ) envlist = py27 , py35 , py36 , py37 assert `` Command '' in result [ 1 ] u '' select 'fooé ' ; invalid syntax é '' , assert u '' Description '' in result [ 2 ] assert `` 日本語 '' in run ( executor , `` SELECT '日本語 ' AS japanese ; '' , join=True ) assert ' { `` name '' : `` Éowyn '' } ' in result","['.travis.yml', 'README.rst', 'changelog.rst', 'pgcli/main.py', 'pyproject.toml', 'setup.py', 'tests/test_pgexecute.py', 'tox.ini']",Deprecate Python2.7 . ( # 1153 )
20,91263c37b94a1a3b45be13d35ff1ea19c7b8e1b7,2020-02-13 14:24:37-08:00,"' f ' - foreign table def _relations ( self , kinds= ( `` r '' , `` p '' , `` f '' , `` v '' , `` m '' ) ) : for row in self._relations ( kinds= [ `` r '' , `` p '' , `` f '' ] ) : for row in self._columns ( kinds= [ `` r '' ] ) : * Yoni Nakache ( lazydba247 ) ' p ' - partitioned table for row in self._relations ( kinds= [ `` r '' ] ) : def _columns ( self , kinds= ( `` r '' , `` p '' , `` f '' , `` v '' , `` m '' ) ) : def _columns ( self , kinds= ( `` r '' , `` v '' , `` m '' ) ) : * Add support for partitioned tables ( relkind `` p '' ) . def _relations ( self , kinds= ( `` r '' , `` v '' , `` m '' ) ) : for row in self._columns ( kinds= [ `` r '' , `` p '' , `` f '' ] ) :","['AUTHORS', 'changelog.rst', 'pgcli/pgexecute.py']",Add Support for partitioned tables . ( # 1145 )
21,8fe316e5376738880c9cf4013f37ff357f428e19,2020-01-15 22:45:16-08:00,"pytest > =2.7.0 , < =3.0.7 pytest > =2.7.0 `` 3.4 '' # The maximum version requirement can be removed once Python 3.4 goes EOL .. _ ` laixintao ` : https : //github.com/laixintao `` Programming Language : : Python : : 3.4 '' , * Drop Python3.4 support . ( Thanks : ` laixintao ` _ ) envlist = py27 , py34 , py35 , py36 , py37 envlist = py27 , py35 , py36 , py37","['.travis.yml', 'changelog.rst', 'requirements-dev.txt', 'setup.py', 'tox.ini']",Drop Python 3.4 support ( # 1141 )
22,77a361966a6cbe73ba153710f10f32cc27d167f5,2020-01-14 20:56:07-08:00,if dsn is not `` '' : .. _ ` thegeorgeous ` : https : //github.com/thegeorgeous if dsn ! = `` '' : * George Thomas ( thegeorgeous ) * Fix warning raised for using ` is not ` to compare string literal Bug fixes :,"['AUTHORS', 'changelog.rst', 'pgcli/main.py']",Fix warning raised for using ` is not ` to compare string literal ( # 1139 )
23,2b55da84812f94bc98d3586244f02749326062d5,2020-01-07 06:55:36-08:00,* Add support for ANSI escape sequences for coloring the prompt ( # 1123 ) . pgcli package main entry point Features : if __name__ == `` __main__ '' : * Add ` __main__.py ` file to execute pgcli as a package directly ( # 1123 ) . cli ( ) `` `` '' from .main import cli * Add support for ANSI escape sequences for coloring the prompt ( # 1122 ) .,"['changelog.rst', 'pgcli/__main__.py']",Merge pull request # 1123 from TheJJ/main-file
24,a5f7d9196c45519aef761692698875ce9d8d4f8c,2020-01-07 06:53:42-08:00,Integration tests use ` behave package < https : //behave.readthedocs.io/ > ` _ and * BrownShibaDog ========= Internal : .. _ ` BrownShibaDog ` : https : //github.com/BrownShibaDog * Fix dead link in development guide . ( Thanks : ` BrownShibaDog ` _ ) Upcoming : Integration tests use ` behave package < http : //pythonhosted.org/behave/ > ` _ and,"['AUTHORS', 'DEVELOP.rst', 'changelog.rst']",Merge pull request # 1135 from BrownShibaDog/master
25,901812a7bf1667117668e24211a99ab7b867b98d,2019-12-08 19:19:43-08:00,"return ANSI ( prompt ) prompt = prompt.replace ( `` \\x1b '' , `` \x1b '' ) * Add support for ANSI escape sequences for coloring the prompt ( # 1123 ) . from prompt_toolkit.formatted_text import ANSI return [ ( `` class : prompt '' , prompt ) ] # \x1b [ ... m - insert ANSI escape sequence * Jonas Jelten","['AUTHORS', 'changelog.rst', 'pgcli/main.py', 'pgcli/pgclirc']",Merge pull request # 1122 from TheJJ/prompt-colors
